Titulo,Preco,Bairro,Cidade,Endereco,Metragem,Quartos,Banheiros,Vagas,Link
"Apartamento para comprar com 152 m², 3 quartos, 1 banheiro, 3 vagas em
Parque Solar do Agreste A, Rio Verde",R$ 2.300.000,Parque Solar do Agreste A,Rio Verde,N/A,152 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-parque-solar-do-agreste-a-rio-verde-152m2-id-2814393157/?source=ranking%2Crp
"Sala/Conjunto para comprar com 40 m² em
Odília, Rio Verde",R$ 500.000,Odília,Rio Verde,N/A,40 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-odilia-rio-verde-40m2-id-2767183414/?source=ranking%2Crp
"Casa para comprar com 270 m², 3 quartos, 1 banheiro, 3 vagas em
Residencial Interlagos, Rio Verde",R$ 930.000,Residencial Interlagos,Rio Verde,N/A,270 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-residencial-interlagos-rio-verde-270m2-id-2828351731/?source=ranking%2Crp
"Casa para comprar com 308 m², 4 quartos, 1 banheiro, 2 vagas em
Parque das Laranjeiras Prolongamento, Rio Verde",R$ 1.200.000,Parque das Laranjeiras Prolongamento,Rio Verde,N/A,308 m²,4,1,2,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-parque-das-laranjeiras-prolongamento-rio-verde-308m2-id-2771329552/?source=ranking%2Crp
"Casa de condomínio para comprar com 657 m², 5 quartos, 1 banheiro, 4 vagas em
Residencial Green Park, Rio Verde",R$ 9.250.000,Residencial Green Park,Rio Verde,N/A,657 m²,5,1,4,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-com-piscina-residencial-green-park-rio-verde-657m2-id-2787851218/?source=ranking%2Crp
"Apartamento para comprar com 121 m², 3 quartos, 2 banheiros, 1 vaga em
Vila Santo Antônio, Rio Verde",R$ 560.000,Vila Santo Antônio,Rio Verde,N/A,121 m²,3,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-vila-santo-antonio-rio-verde-121m2-id-2808702816/?source=ranking%2Crp
"Apartamento para comprar com 62 m², 2 quartos, 2 banheiros, 2 vagas em
Residencial Tocantins, Rio Verde",R$ 650.000,Residencial Tocantins,Rio Verde,N/A,62 m²,2,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-residencial-tocantins-rio-verde-62m2-id-2808702514/?source=ranking%2Crp
"Casa para comprar com 224 m², 4 quartos, 2 banheiros, 4 vagas em
Parque dos Buritis, Rio Verde",R$ 1.300.000,Parque dos Buritis,Rio Verde,N/A,224 m²,4,2,4,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-parque-dos-buritis-rio-verde-224m2-id-2541565718/?source=ranking%2Crp
"Casa para comprar com 233 m², 3 quartos, 1 banheiro, 5 vagas em
Santo Agostinho, Rio Verde",R$ 1.000.000,Santo Agostinho,Rio Verde,N/A,233 m²,3,1,5,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-copa-santo-agostinho-rio-verde-233m2-id-2743950881/?source=ranking%2Crp
"Casa para comprar com 162 m², 3 quartos, 1 banheiro, 3 vagas em
Residencial Campos Elíseos, Rio Verde",R$ 1.250.000,Residencial Campos Elíseos,Rio Verde,N/A,162 m²,3,1,3,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-residencial-campos-eliseos-rio-verde-162m2-id-2771585532/?source=ranking%2Crp
"Imóvel comercial para comprar com 57601 m², 2 banheiros, 1 vaga em
Vila Santo Antônio, Rio Verde",R$ 2.500.000,Vila Santo Antônio,Rio Verde,N/A,57601 m²,N/A,2,1,https://www.zapimoveis.com.br/imovel/venda-casa-vila-santo-antonio-rio-verde-57601m2-id-2559706260/?source=ranking%2Crp
"Lote/Terreno para comprar com 360 m² em
Residencial Interlagos, Rio Verde",R$ 450.000,Residencial Interlagos,Rio Verde,N/A,360 m²,N/A,N/A,N/A,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-residencial-interlagos-rio-verde-360m2-id-2812735764/?source=ranking%2Crp
